size,diff,gap,hit score,Suboptimal,Wrong hit,No hit
10,2,0,-13,388,388,73
10,2,0,-12,388,388,73
10,2,0,-11,388,388,73
10,2,0,-10,388,388,73
10,2,0,-9,388,388,73
10,2,0,-8,388,388,73
10,2,0,-7,385,385,76
10,2,0,-6,380,380,81
10,2,0,-5,377,377,84
10,2,0,-4,372,370,89
10,2,0,-3,367,363,96
10,2,0,-2,357,348,108
10,2,0,-1,344,327,121
10,2,0,0,334,267,132
10,2,0,1,305,249,164
10,2,0,2,286,223,184
10,2,0,3,265,197,213
10,2,0,4,241,166,241
10,2,0,5,221,144,270
10,2,0,6,205,130,299
10,2,0,7,189,118,327
10,2,0,8,174,107,351
10,2,0,9,160,100,380
10,2,0,10,147,60,415
10,2,0,11,112,60,481
10,2,0,12,111,58,509
10,2,2,-13,200,200,304
10,2,2,-12,200,200,304
10,2,2,-11,200,200,304
10,2,2,-10,200,200,304
10,2,2,-9,200,200,304
10,2,2,-8,200,200,304
10,2,2,-7,200,200,304
10,2,2,-6,200,200,304
10,2,2,-5,200,200,304
10,2,2,-4,200,199,304
10,2,2,-3,200,198,304
10,2,2,-2,200,195,304
10,2,2,-1,200,189,304
10,2,2,0,200,178,304
10,2,2,1,200,171,304
10,2,2,2,200,143,304
10,2,2,3,172,110,367
10,2,2,4,140,83,436
10,2,2,5,113,53,514
10,2,2,6,87,41,575
10,2,2,7,77,28,617
10,2,2,8,64,18,666
10,2,2,9,54,15,697
10,2,2,10,49,10,720
10,2,2,11,45,10,758
10,2,2,12,40,8,774
10,2,4,-13,76,76,584
10,2,4,-12,76,76,584
10,2,4,-11,76,76,584
10,2,4,-10,76,76,584
10,2,4,-9,76,76,584
10,2,4,-8,76,76,584
10,2,4,-7,76,76,584
10,2,4,-6,76,76,584
10,2,4,-5,76,76,584
10,2,4,-4,76,76,584
10,2,4,-3,76,76,584
10,2,4,-2,76,76,584
10,2,4,-1,76,75,584
10,2,4,0,76,52,584
10,2,4,1,54,40,645
10,2,4,2,42,19,687
10,2,4,3,22,14,753
10,2,4,4,17,7,796
10,2,4,5,10,4,826
10,2,4,6,6,4,856
10,2,4,7,5,2,882
10,2,4,8,3,2,896
10,2,4,9,3,1,902
10,2,4,10,2,0,912
10,2,4,11,1,0,934
10,2,4,12,1,0,937
10,4,0,-13,480,480,130
10,4,0,-12,480,480,130
10,4,0,-11,480,480,130
10,4,0,-10,480,480,130
10,4,0,-9,480,480,130
10,4,0,-8,480,480,130
10,4,0,-7,477,477,133
10,4,0,-6,471,471,139
10,4,0,-5,469,468,141
10,4,0,-4,456,456,156
10,4,0,-3,442,438,171
10,4,0,-2,427,414,194
10,4,0,-1,409,394,218
10,4,0,0,392,331,244
10,4,0,1,369,307,283
10,4,0,2,352,272,314
10,4,0,3,313,234,364
10,4,0,4,283,196,402
10,4,0,5,251,173,450
10,4,0,6,217,147,500
10,4,0,7,195,116,533
10,4,0,8,163,105,585
10,4,0,9,144,95,619
10,4,0,10,135,62,640
10,4,0,11,104,59,704
10,4,0,12,100,47,714
10,4,2,-13,151,151,361
10,4,2,-12,151,151,361
10,4,2,-11,151,151,361
10,4,2,-10,151,151,361
10,4,2,-9,151,151,361
10,4,2,-8,151,151,361
10,4,2,-7,151,151,361
10,4,2,-6,151,151,361
10,4,2,-5,151,151,361
10,4,2,-4,151,151,361
10,4,2,-3,151,151,361
10,4,2,-2,151,148,361
10,4,2,-1,151,147,361
10,4,2,0,151,144,361
10,4,2,1,151,140,361
10,4,2,2,151,111,361
10,4,2,3,123,85,435
10,4,2,4,99,55,492
10,4,2,5,72,37,578
10,4,2,6,56,24,655
10,4,2,7,43,14,699
10,4,2,8,31,11,747
10,4,2,9,27,10,779
10,4,2,10,25,7,801
10,4,2,11,21,7,844
10,4,2,12,18,7,858
10,4,4,-13,73,73,533
10,4,4,-12,73,73,533
10,4,4,-11,73,73,533
10,4,4,-10,73,73,533
10,4,4,-9,73,73,533
10,4,4,-8,73,73,533
10,4,4,-7,73,73,533
10,4,4,-6,73,73,533
10,4,4,-5,73,73,533
10,4,4,-4,73,73,533
10,4,4,-3,73,73,533
10,4,4,-2,73,73,533
10,4,4,-1,73,73,533
10,4,4,0,73,56,533
10,4,4,1,57,46,579
10,4,4,2,47,24,632
10,4,4,3,24,13,719
10,4,4,4,13,8,771
10,4,4,5,8,3,816
10,4,4,6,3,1,865
10,4,4,7,1,1,889
10,4,4,8,1,1,911
10,4,4,9,1,0,920
10,4,4,10,0,0,932
10,4,4,11,0,0,956
10,4,4,12,0,0,959
13,2,0,-13,138,138,21
13,2,0,-12,138,138,21
13,2,0,-11,138,138,21
13,2,0,-10,138,138,21
13,2,0,-9,138,138,21
13,2,0,-8,138,138,21
13,2,0,-7,138,138,21
13,2,0,-6,137,137,22
13,2,0,-5,134,134,25
13,2,0,-4,128,127,31
13,2,0,-3,120,120,41
13,2,0,-2,118,116,44
13,2,0,-1,113,107,49
13,2,0,0,105,90,58
13,2,0,1,94,75,71
13,2,0,2,84,73,83
13,2,0,3,77,65,91
13,2,0,4,69,58,100
13,2,0,5,63,54,113
13,2,0,6,59,45,123
13,2,0,7,52,40,149
13,2,0,8,48,43,165
13,2,0,9,51,41,194
13,2,0,10,48,28,223
13,2,0,11,40,37,267
13,2,0,12,43,36,296
13,2,2,-13,226,226,269
13,2,2,-12,226,226,269
13,2,2,-11,226,226,269
13,2,2,-10,226,226,269
13,2,2,-9,226,226,269
13,2,2,-8,226,226,269
13,2,2,-7,226,226,269
13,2,2,-6,226,226,269
13,2,2,-5,226,226,269
13,2,2,-4,226,224,269
13,2,2,-3,226,222,269
13,2,2,-2,226,214,269
13,2,2,-1,226,203,270
13,2,2,0,225,178,271
13,2,2,1,219,156,281
13,2,2,2,215,141,291
13,2,2,3,210,133,301
13,2,2,4,210,125,312
13,2,2,5,204,103,334
13,2,2,6,192,93,358
13,2,2,7,184,80,385
13,2,2,8,176,74,407
13,2,2,9,168,69,433
13,2,2,10,162,48,458
13,2,2,11,136,49,534
13,2,2,12,131,42,554
13,2,4,-13,119,119,394
13,2,4,-12,119,119,394
13,2,4,-11,119,119,394
13,2,4,-10,119,119,394
13,2,4,-9,119,119,394
13,2,4,-8,119,119,394
13,2,4,-7,119,119,394
13,2,4,-6,119,119,394
13,2,4,-5,119,119,394
13,2,4,-4,119,118,394
13,2,4,-3,119,118,394
13,2,4,-2,119,118,394
13,2,4,-1,119,113,394
13,2,4,0,119,105,394
13,2,4,1,119,103,394
13,2,4,2,119,100,394
13,2,4,3,119,97,394
13,2,4,4,119,84,394
13,2,4,5,110,74,430
13,2,4,6,104,59,466
13,2,4,7,91,51,519
13,2,4,8,84,45,571
13,2,4,9,78,38,605
13,2,4,10,70,29,632
13,2,4,11,58,28,699
13,2,4,12,56,22,710
13,4,0,-13,324,324,51
13,4,0,-12,324,324,51
13,4,0,-11,324,324,51
13,4,0,-10,324,324,51
13,4,0,-9,324,324,51
13,4,0,-8,323,323,52
13,4,0,-7,323,323,53
13,4,0,-6,324,324,54
13,4,0,-5,323,322,58
13,4,0,-4,320,318,64
13,4,0,-3,313,305,75
13,4,0,-2,304,290,90
13,4,0,-1,293,273,108
13,4,0,0,280,222,128
13,4,0,1,242,213,179
13,4,0,2,236,190,190
13,4,0,3,221,173,212
13,4,0,4,205,154,239
13,4,0,5,191,138,259
13,4,0,6,168,117,292
13,4,0,7,151,96,330
13,4,0,8,135,92,368
13,4,0,9,124,81,394
13,4,0,10,115,67,429
13,4,0,11,94,64,478
13,4,0,12,89,60,503
13,4,2,-13,175,175,361
13,4,2,-12,175,175,361
13,4,2,-11,175,175,361
13,4,2,-10,175,175,361
13,4,2,-9,175,175,361
13,4,2,-8,175,175,361
13,4,2,-7,175,175,361
13,4,2,-6,175,175,361
13,4,2,-5,175,175,361
13,4,2,-4,175,174,361
13,4,2,-3,175,170,361
13,4,2,-2,174,165,362
13,4,2,-1,174,154,362
13,4,2,0,173,141,365
13,4,2,1,171,129,378
13,4,2,2,168,119,387
13,4,2,3,164,109,399
13,4,2,4,158,84,416
13,4,2,5,146,71,442
13,4,2,6,139,64,465
13,4,2,7,128,54,496
13,4,2,8,122,43,526
13,4,2,9,107,37,563
13,4,2,10,97,24,596
13,4,2,11,86,25,666
13,4,2,12,82,23,677
13,4,4,-13,102,102,468
13,4,4,-12,102,102,468
13,4,4,-11,102,102,468
13,4,4,-10,102,102,468
13,4,4,-9,102,102,468
13,4,4,-8,102,102,468
13,4,4,-7,102,102,468
13,4,4,-6,102,102,468
13,4,4,-5,102,102,468
13,4,4,-4,102,102,468
13,4,4,-3,102,102,468
13,4,4,-2,102,102,468
13,4,4,-1,102,99,468
13,4,4,0,102,90,468
13,4,4,1,102,87,468
13,4,4,2,102,84,468
13,4,4,3,102,78,468
13,4,4,4,102,63,468
13,4,4,5,90,55,511
13,4,4,6,84,38,539
13,4,4,7,64,29,603
13,4,4,8,54,21,648
13,4,4,9,45,21,681
13,4,4,10,45,16,702
13,4,4,11,39,14,769
13,4,4,12,37,13,783
15,2,0,-13,76,76,1
15,2,0,-12,76,76,1
15,2,0,-11,76,76,1
15,2,0,-10,76,76,1
15,2,0,-9,76,76,1
15,2,0,-8,76,76,1
15,2,0,-7,76,76,1
15,2,0,-6,74,74,3
15,2,0,-5,74,74,3
15,2,0,-4,73,73,4
15,2,0,-3,72,72,5
15,2,0,-2,69,67,8
15,2,0,-1,66,62,11
15,2,0,0,63,56,15
15,2,0,1,58,50,20
15,2,0,2,49,44,29
15,2,0,3,47,41,31
15,2,0,4,41,36,37
15,2,0,5,40,38,39
15,2,0,6,41,33,45
15,2,0,7,38,34,56
15,2,0,8,38,33,71
15,2,0,9,40,37,87
15,2,0,10,47,31,111
15,2,0,11,35,33,164
15,2,0,12,41,31,190
15,2,2,-13,177,177,179
15,2,2,-12,177,177,179
15,2,2,-11,177,177,179
15,2,2,-10,177,177,179
15,2,2,-9,177,177,179
15,2,2,-8,177,177,179
15,2,2,-7,177,177,179
15,2,2,-6,177,177,179
15,2,2,-5,177,177,181
15,2,2,-4,176,175,184
15,2,2,-3,174,168,188
15,2,2,-2,174,163,191
15,2,2,-1,171,149,197
15,2,2,0,168,117,204
15,2,2,1,162,108,221
15,2,2,2,163,97,228
15,2,2,3,161,93,236
15,2,2,4,164,84,243
15,2,2,5,160,69,258
15,2,2,6,157,67,273
15,2,2,7,152,59,291
15,2,2,8,144,52,305
15,2,2,9,139,49,320
15,2,2,10,132,42,346
15,2,2,11,132,46,389
15,2,2,12,138,41,410
15,2,4,-13,141,141,445
15,2,4,-12,141,141,445
15,2,4,-11,141,141,445
15,2,4,-10,141,141,445
15,2,4,-9,141,141,445
15,2,4,-8,141,141,445
15,2,4,-7,141,141,445
15,2,4,-6,141,141,445
15,2,4,-5,141,141,445
15,2,4,-4,141,137,445
15,2,4,-3,141,137,445
15,2,4,-2,141,133,445
15,2,4,-1,141,121,445
15,2,4,0,141,110,445
15,2,4,1,141,101,445
15,2,4,2,141,99,445
15,2,4,3,141,96,445
15,2,4,4,141,90,445
15,2,4,5,141,85,445
15,2,4,6,141,82,445
15,2,4,7,139,74,449
15,2,4,8,135,66,457
15,2,4,9,126,58,490
15,2,4,10,115,36,515
15,2,4,11,93,36,576
15,2,4,12,91,32,596
15,4,0,-13,240,240,29
15,4,0,-12,240,240,29
15,4,0,-11,240,240,29
