word size =  7
key set size =  16384
hit mean =  523.39654541
hit std =  305.196747969
{1: 1701569, 2: 1359591, 3: 1165371, 4: 949934, 5: 685110, 6: 624725, 7: 561314, 8: 317882, 9: 316295, 10: 411001, 11: 100150, 12: 112291, 13: 269989, 14: 107}
size	diff	gap	hit score	Suboptimal	Wrong hit	No hit
[999]	10	2	0	-8	0	0	0
[999]	10	2	0	-6	0	0	0
[999]	10	2	0	-4	0	0	0
[999]	10	2	0	-2	0	0	0
[999]	10	2	0	0	0	0	0
[999]	10	2	0	2	0	0	0
[999]	10	2	0	4	0	0	0
[999]	10	2	0	6	0	0	0
[999]	10	2	0	8	1	1	0
[999]	10	2	2	-8	45	45	0
[999]	10	2	2	-6	45	45	0
[999]	10	2	2	-4	45	45	0
[999]	10	2	2	-2	45	45	0
[999]	10	2	2	0	45	45	0
[999]	10	2	2	2	45	45	0
[999]	10	2	2	4	45	45	0
[999]	10	2	2	6	45	45	0
[999]	10	2	2	8	45	45	0
[999]	10	2	4	-8	2	2	414
[999]	10	2	4	-6	2	2	414
[999]	10	2	4	-4	2	2	414
[999]	10	2	4	-2	2	2	414
[999]	10	2	4	0	2	2	414
[999]	10	2	4	2	2	2	414
[999]	10	2	4	4	2	2	414
[999]	10	2	4	6	2	2	414
[999]	10	2	4	8	2	2	414
[999]	10	4	0	-8	0	0	0
[999]	10	4	0	-6	0	0	0
[999]	10	4	0	-4	0	0	0
[999]	10	4	0	-2	0	0	0
[999]	10	4	0	0	0	0	0
[999]	10	4	0	2	0	0	0
[999]	10	4	0	4	0	0	0
[999]	10	4	0	6	0	0	0
[999]	10	4	0	8	0	0	0
[999]	10	4	2	-8	28	28	0
[999]	10	4	2	-6	28	28	0
[999]	10	4	2	-4	28	28	0
[999]	10	4	2	-2	28	28	0
[999]	10	4	2	0	28	28	0
[999]	10	4	2	2	28	28	0
[999]	10	4	2	4	28	28	0
[999]	10	4	2	6	28	28	0
[999]	10	4	2	8	28	28	0
[999]	10	4	4	-8	4	4	327
[999]	10	4	4	-6	4	4	327
[999]	10	4	4	-4	4	4	327
[999]	10	4	4	-2	4	4	327
[999]	10	4	4	0	4	4	327
[999]	10	4	4	2	4	4	327
[999]	10	4	4	4	4	4	327
[999]	10	4	4	6	4	4	327
[999]	10	4	4	8	4	4	327
[999]	13	2	0	-8	0	0	0
[999]	13	2	0	-6	0	0	0
[999]	13	2	0	-4	0	0	0
[999]	13	2	0	-2	0	0	0
[999]	13	2	0	0	0	0	0
[999]	13	2	0	2	0	0	0
[999]	13	2	0	4	0	0	0
[999]	13	2	0	6	0	0	0
[999]	13	2	0	8	0	0	0
[999]	13	2	2	-8	73	73	0
[999]	13	2	2	-6	73	73	0
[999]	13	2	2	-4	73	73	0
[999]	13	2	2	-2	73	73	0
[999]	13	2	2	0	73	73	0
[999]	13	2	2	2	73	73	0
[999]	13	2	2	4	73	73	0
[999]	13	2	2	6	73	73	0
[999]	13	2	2	8	73	73	0
[999]	13	2	4	-8	103	103	0
[999]	13	2	4	-6	103	103	0
[999]	13	2	4	-4	103	103	0
[999]	13	2	4	-2	103	103	0
[999]	13	2	4	0	103	103	0
[999]	13	2	4	2	103	103	0
[999]	13	2	4	4	103	103	0
[999]	13	2	4	6	103	103	0
[999]	13	2	4	8	103	103	0
[999]	13	4	0	-8	0	0	0
[999]	13	4	0	-6	0	0	0
[999]	13	4	0	-4	0	0	0
[999]	13	4	0	-2	0	0	0
[999]	13	4	0	0	0	0	0
[999]	13	4	0	2	0	0	0
[999]	13	4	0	4	0	0	0
[999]	13	4	0	6	0	0	0
[999]	13	4	0	8	0	0	0
[999]	13	4	2	-8	16	16	0
[999]	13	4	2	-6	16	16	0
[999]	13	4	2	-4	16	16	0
[999]	13	4	2	-2	16	16	0
[999]	13	4	2	0	16	16	0
[999]	13	4	2	2	16	16	0
[999]	13	4	2	4	16	16	0
[999]	13	4	2	6	16	16	0
[999]	13	4	2	8	16	16	0
[999]	13	4	4	-8	58	58	0
[999]	13	4	4	-6	58	58	0
[999]	13	4	4	-4	58	58	0
[999]	13	4	4	-2	58	58	0
[999]	13	4	4	0	58	58	0
[999]	13	4	4	2	58	58	0
[999]	13	4	4	4	58	58	0
[999]	13	4	4	6	58	58	0
[999]	13	4	4	8	58	58	0
[999]	15	2	0	-8	0	0	0
[999]	15	2	0	-6	0	0	0
[999]	15	2	0	-4	0	0	0
[999]	15	2	0	-2	0	0	0
[999]	15	2	0	0	0	0	0
[999]	15	2	0	2	0	0	0
[999]	15	2	0	4	0	0	0
[999]	15	2	0	6	0	0	0
[999]	15	2	0	8	0	0	0
[999]	15	2	2	-8	2	2	0
[999]	15	2	2	-6	2	2	0
[999]	15	2	2	-4	2	2	0
[999]	15	2	2	-2	2	2	0
[999]	15	2	2	0	2	2	0
[999]	15	2	2	2	2	2	0
[999]	15	2	2	4	2	2	0
[999]	15	2	2	6	2	2	0
[999]	15	2	2	8	2	2	0
[999]	15	2	4	-8	147	147	0
[999]	15	2	4	-6	147	147	0
[999]	15	2	4	-4	147	147	0
[999]	15	2	4	-2	147	147	0
[999]	15	2	4	0	147	147	0
[999]	15	2	4	2	147	147	0
[999]	15	2	4	4	147	147	0
[999]	15	2	4	6	147	147	0
[999]	15	2	4	8	147	147	0
[999]	15	4	0	-8	0	0	0
[999]	15	4	0	-6	0	0	0
[999]	15	4	0	-4	0	0	0
